,Achieve [LocalsWarnedWhenRiskImminent],Avoid [FalseWarning],Achieve [DepthAcquiredEvery5SecondsByRadar],,,,Maintain [AcquiredRadarDepthAccurate],,,,Achieve [SpeedAcquiredEvery5SecondsByUltrasound],,,,Maintain [UltrasoundSpeedAccurate],,,,Achieve [LocalsWarnedByPhoneWhenLevelsCritical],,,,Achieve [LevelsCriticalDetectedWhenDataAcquired],Achieve [SpeedAcquiredEvery10SecondsByUltrasound],,,,Achieve [SpeedAcquiredEvery5SecondsByCamera],Achieve [ImagesAcquiredEvery5Seconds],Achieve [TracersIdentified],Achieve [SpeedAcquiredFromTracers],Maintain [CameraSpeedAccurate],Achieve [LocalsWarnedBySMSWhenLevelsCritical],,,,locals_warned_by_email,,,
timestamp,cps,cps,mean,lower,upper,cps,mean,lower,upper,cps,mean,lower,upper,cps,mean,lower,upper,cps,mean,lower,upper,cps,cps,mean,lower,upper,cps,cps,cps,cps,cps,cps,mean,lower,upper,cps,mean,lower,upper,cps
16:34:13.8462,0.7071,0.9545,0.8182,1.0000,0.6275,0.9091,0.6250,0.9057,0.3443,1.0000,0.6667,0.9244,0.4090,0.7778,0.6667,0.9823,0.3510,0.9545,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:14.8473,0.7071,0.9545,0.8182,1.0000,0.6275,0.9091,0.6250,0.9057,0.3443,1.0000,0.6667,0.9244,0.4090,0.7778,0.6667,0.9823,0.3510,0.9545,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:15.8476,0.7071,0.9545,0.8182,1.0000,0.6275,0.9091,0.6250,0.9057,0.3443,1.0000,0.6667,0.9244,0.4090,0.7778,0.6667,0.9823,0.3510,0.9545,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:16.8501,0.7071,0.9630,0.8182,1.0000,0.6275,0.9091,0.6250,0.9057,0.3443,1.0000,0.6667,0.9244,0.4090,0.7778,0.6667,0.9823,0.3510,0.9630,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:17.8501,0.7576,0.9630,0.8182,1.0000,0.6275,0.9091,0.6250,0.9057,0.3443,1.0000,0.7500,0.9550,0.5450,0.8333,0.6667,0.9823,0.3510,0.9630,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:18.8504,0.7576,0.9630,0.8182,1.0000,0.6275,0.9091,0.6250,0.9057,0.3443,1.0000,0.7500,0.9550,0.5450,0.8333,0.6667,0.9823,0.3510,0.9630,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:19.8520,0.7576,0.9630,0.8182,1.0000,0.6275,0.9091,0.5556,0.8272,0.2839,1.0000,0.7500,0.9550,0.5450,0.8333,0.6667,0.9823,0.3510,0.9630,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:20.8541,0.7576,0.9643,0.8182,1.0000,0.6275,0.9091,0.5000,0.7593,0.2407,1.0000,0.7500,0.9550,0.5450,0.8333,0.6667,0.9823,0.3510,0.9643,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:21.8553,0.7576,0.9643,0.8182,1.0000,0.6275,0.9091,0.5000,0.7593,0.2407,1.0000,0.7500,0.9550,0.5450,0.8333,0.6667,0.9823,0.3510,0.9643,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:22.8572,0.7792,0.9643,0.8182,1.0000,0.6275,0.9091,0.5000,0.7593,0.2407,1.0000,0.7857,0.9656,0.6059,0.8571,0.6667,0.9823,0.3510,0.9643,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:23.8595,0.7792,0.9643,0.8182,1.0000,0.6275,0.9091,0.5000,0.7593,0.2407,1.0000,0.7857,0.9656,0.6059,0.8571,0.6667,0.9823,0.3510,0.9643,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
